path,true_label,read_ok,read_error,width,height,brightness_mean,brightness_std,saturation_mean,saturation_std,contrast,dark_pixel_ratio,bright_pixel_ratio,low_saturation_ratio,edge_density,laplacian_variance,dhash,exact_dhash_group_size,near_duplicate_group_size,near_duplicate_group_id
datasets/6a39ed934d7b489daf5f80a4-momodel/train/cloudy/cloudy_00001.jpg,cloudy,1,,224,224,127.456673,67.980885,87.700335,54.047019,67.980885,0.273557,0.209821,0.190011,0.076690,696.746093,008c0dc302ccf083,1,1,
datasets/6a39ed934d7b489daf5f80a4-momodel/train/cloudy/cloudy_00002.jpg,cloudy,1,,224,224,103.064473,43.883635,126.749143,70.688271,43.883635,0.220504,0.038305,0.139908,0.126156,979.289348,5735950f5b6c0c8f,1,1,
datasets/6a39ed934d7b489daf5f80a4-momodel/train/cloudy/cloudy_00003.jpg,cloudy,1,,224,224,128.841697,56.646490,117.965262,59.198119,56.646490,0.177077,0.138612,0.084204,0.160635,1248.072784,cf6e452d215d5717,1,1,
datasets/6a39ed934d7b489daf5f80a4-momodel/train/cloudy/cloudy_00004.jpg,cloudy,1,,224,224,115.885742,70.832094,52.226363,57.066511,70.832094,0.329640,0.199916,0.571728,0.105050,1259.792223,dbaf8f1f1f9f8fef,1,1,
datasets/6a39ed934d7b489daf5f80a4-momodel/train/cloudy/cloudy_00005.jpg,cloudy,1,,224,224,168.359176,27.457512,62.227439,25.107573,27.457512,0.000199,0.202228,0.098154,0.023079,90.312459,e2faf0f2e0fccef0,1,1,
datasets/6a39ed934d7b489daf5f80a4-momodel/train/cloudy/cloudy_00006.jpg,cloudy,1,,224,224,158.133630,40.316138,97.822286,80.863389,40.316138,0.023856,0.166653,0.383490,0.134546,863.474686,e7cf5f4f005616b7,1,1,
datasets/6a39ed934d7b489daf5f80a4-momodel/train/cloudy/cloudy_00007.jpg,cloudy,1,,224,224,127.651925,46.239150,97.089405,70.461739,46.239150,0.064991,0.101562,0.136400,0.087093,455.202019,c4e316d4f0f28618,1,1,
datasets/6a39ed934d7b489daf5f80a4-momodel/train/cloudy/cloudy_00008.jpg,cloudy,1,,224,224,121.530134,44.514672,30.267120,18.918837,44.514672,0.093192,0.089744,0.479971,0.032067,258.563233,2698e0be7cf0fc98,1,1,
datasets/6a39ed934d7b489daf5f80a4-momodel/train/cloudy/cloudy_00009.jpg,cloudy,1,,224,224,122.631457,45.672063,65.304528,46.216860,45.672063,0.114338,0.069276,0.347178,0.127651,1009.604892,c86c6538e0c4e0b0,1,1,
datasets/6a39ed934d7b489daf5f80a4-momodel/train/cloudy/cloudy_00010.jpg,cloudy,1,,224,224,179.167889,46.997127,51.063058,19.522772,46.997127,0.081114,0.452248,0.190948,0.011838,321.950190,e0e0e08e8f9ef08e,1,1,
datasets/6a39ed934d7b489daf5f80a4-momodel/train/cloudy/cloudy_00011.jpg,cloudy,1,,224,224,153.049546,66.374146,20.292510,15.440209,66.374146,0.152144,0.375518,0.872290,0.031150,193.136374,c2c8e0e0f3bcd39a,1,1,
datasets/6a39ed934d7b489daf5f80a4-momodel/train/cloudy/cloudy_00012.jpg,cloudy,1,,224,224,168.806920,44.830902,92.812580,58.185501,44.830902,0.005421,0.289302,0.180784,0.023318,63.544506,60f0f0cac6e8e0a0,1,1,
datasets/6a39ed934d7b489daf5f80a4-momodel/train/cloudy/cloudy_00013.jpg,cloudy,1,,224,224,115.563038,70.903480,72.971700,23.879543,70.903480,0.377810,0.098713,0.037867,0.012576,68.370016,bfcec6e040c8e910,1,1,
datasets/6a39ed934d7b489daf5f80a4-momodel/train/cloudy/cloudy_00014.jpg,cloudy,1,,224,224,130.745715,63.815482,87.385184,65.014148,63.815482,0.213628,0.219268,0.311504,0.118403,783.965020,e0e0e0e1e60eea38,1,1,
datasets/6a39ed934d7b489daf5f80a4-momodel/train/cloudy/cloudy_00015.jpg,cloudy,1,,224,224,104.174705,61.422843,85.469547,45.615437,61.422843,0.386280,0.101742,0.137616,0.028878,60.939625,02061f7dfd1c0689,1,1,
datasets/6a39ed934d7b489daf5f80a4-momodel/train/cloudy/cloudy_00016.jpg,cloudy,1,,224,224,126.238321,68.195500,86.626594,78.830798,68.195500,0.249223,0.173390,0.354971,0.127770,927.827706,98f0e7f9b8767caa,1,1,
datasets/6a39ed934d7b489daf5f80a4-momodel/train/cloudy/cloudy_00017.jpg,cloudy,1,,224,224,88.687640,78.137180,52.711436,59.210890,78.137180,0.518455,0.097875,0.518694,0.116550,1728.904579,f0e8e8e060f828e8,1,1,
datasets/6a39ed934d7b489daf5f80a4-momodel/train/cloudy/cloudy_00018.jpg,cloudy,1,,224,224,48.018774,40.079203,181.419862,66.730623,40.079203,0.722278,0.003807,0.018575,0.057597,771.576673,e8f0f0f8f0f08899,1,1,
datasets/6a39ed934d7b489daf5f80a4-momodel/train/cloudy/cloudy_00019.jpg,cloudy,1,,224,224,108.199577,45.733173,38.466059,32.057324,45.733173,0.214764,0.001236,0.615474,0.036472,218.975657,1c2e49a7f99f79c3,1,1,
datasets/6a39ed934d7b489daf5f80a4-momodel/train/cloudy/cloudy_00020.jpg,cloudy,1,,224,224,138.421735,65.446008,104.755441,91.023695,65.446008,0.131198,0.283761,0.354811,0.077906,726.763639,b85883c328d498a0,1,1,
